pair_idx,Simulator,prefill_len,decode_len,Decode_TPS,Prefill_TPS,err
0,FlexGen,34,32,4.473202,1.12,
0,LIA,34,32,6.483402,1.145,
0,LLMFlash,34,32,11.2178,8.2,
0,SemSched,34,32,22.088943,5.98,
1,FlexGen,17,32,4.476191,0.56,
1,LIA,17,32,6.483402,0.572,
1,LLMFlash,17,32,11.0159,8.2,
1,SemSched,17,32,22.195355,2.99,
2,FlexGen,62,32,4.468286,2.043,
2,LIA,62,32,6.483402,2.087,
2,LLMFlash,62,32,11.3114,8.3,
2,SemSched,62,32,21.915882,10.9,
