mem,quant,batch,prefill,Simulator,Decode_TPS,Prefill_TPS
16H+32C,int8,1,4000,LIA,0.101303,142.164
16H+32C,int8,1,4000,LLMFlash,0.6615,0.1
16H+32C,int8,1,4000,SemSched,0.446799,797.01
16H+32C,int8,16,50,FlexGen,1.266901,1.792
16H+32C,int8,16,50,LIA,1.62085,1.777
16H+32C,int8,16,50,LLMFlash,3.5465,2.1
16H+32C,int8,16,50,SemSched,5.811909,16.57
16H+32C,int8,16,500,FlexGen,1.263737,17.922
16H+32C,int8,16,500,LIA,1.62085,17.77
16H+32C,int8,16,500,LLMFlash,3.5528,2.1
16H+32C,int8,16,500,SemSched,5.716488,104.24
16H+32C,int8,16,2000,FlexGen,1.237258,71.689
16H+32C,int8,16,2000,LIA,1.62085,71.082
16H+32C,int8,16,2000,LLMFlash,3.5533,2.1
16H+32C,int8,16,2000,SemSched,5.419849,401.01
16H+32C,int8,16,4000,FlexGen,1.223957,143.378
16H+32C,int8,16,4000,LIA,1.62085,142.164
16H+32C,int8,16,4000,LLMFlash,3.5534,2.1
16H+32C,int8,16,4000,SemSched,5.069078,797.01
16H+32C,int8,128,50,FlexGen,10.102763,1.792
16H+32C,int8,128,50,LIA,12.966804,1.777
16H+32C,int8,128,50,LLMFlash,25.9099,16.5
16H+32C,int8,128,50,SemSched,45.163172,16.57
16H+32C,int8,128,500,FlexGen,9.905004,17.922
16H+32C,int8,128,500,LIA,12.966804,17.77
16H+32C,int8,128,500,LLMFlash,26.2501,16.5
16H+32C,int8,128,500,SemSched,39.976602,104.24
16H+32C,int8,128,2000,FlexGen,9.187797,71.689
16H+32C,int8,128,2000,LIA,12.966804,71.082
16H+32C,int8,128,2000,LLMFlash,26.2787,16.5
16H+32C,int8,128,2000,SemSched,28.909846,401.01
16H+32C,int8,128,4000,FlexGen,8.501713,143.378
16H+32C,int8,128,4000,LIA,12.966804,142.164
16H+32C,int8,128,4000,LLMFlash,26.2835,16.5
16H+32C,int8,128,4000,SemSched,21.115829,797.01
16H+32C,int4,1,50,FlexGen,0.192541,1.794
16H+32C,int4,1,50,LIA,0.399275,1.787
16H+32C,int4,1,50,LLMFlash,1.3224,0.3
16H+32C,int4,1,50,SemSched,0.747146,24.18
16H+32C,int4,1,500,FlexGen,0.19252,17.944
16H+32C,int4,1,500,LIA,0.399275,17.867
16H+32C,int4,1,500,LLMFlash,1.3229,0.3
16H+32C,int4,1,500,SemSched,0.747146,157.33
16H+32C,int4,1,2000,FlexGen,0.19245,71.775
16H+32C,int4,1,2000,LIA,0.399275,71.469
16H+32C,int4,1,2000,LLMFlash,1.3229,0.3
16H+32C,int4,1,2000,SemSched,0.747146,593.71
16H+32C,int4,1,4000,FlexGen,0.192357,143.55
16H+32C,int4,1,4000,LIA,0.399275,142.939
16H+32C,int4,1,4000,LLMFlash,1.3229,0.3
16H+32C,int4,1,4000,SemSched,0.747146,1176.5
16H+32C,int4,16,50,FlexGen,3.079725,1.794
16H+32C,int4,16,50,LIA,6.388408,1.787
16H+32C,int4,16,50,LLMFlash,13.0123,4.1
16H+32C,int4,16,50,SemSched,10.428049,24.18
16H+32C,int4,16,500,FlexGen,3.074346,17.944
16H+32C,int4,16,500,LIA,6.388408,17.867
16H+32C,int4,16,500,LLMFlash,13.0548,4.1
16H+32C,int4,16,500,SemSched,10.428049,157.33
16H+32C,int4,16,2000,FlexGen,3.056549,71.775
16H+32C,int4,16,2000,LIA,6.388408,71.469
16H+32C,int4,16,2000,LLMFlash,13.0583,4.1
16H+32C,int4,16,2000,SemSched,10.428049,593.71
16H+32C,int4,16,4000,FlexGen,3.033138,143.55
16H+32C,int4,16,4000,LIA,6.388408,142.939
16H+32C,int4,16,4000,LLMFlash,13.0589,4.1
16H+32C,int4,16,4000,SemSched,10.428049,1176.5
16H+32C,int4,128,50,FlexGen,24.582149,1.794
16H+32C,int4,128,50,LIA,51.10726,1.787
16H+32C,int4,128,50,LLMFlash,88.6523,33.0
16H+32C,int4,128,50,SemSched,83.405923,24.18
16H+32C,int4,128,500,FlexGen,24.243542,17.944
16H+32C,int4,128,500,LIA,51.10726,17.867
16H+32C,int4,128,500,LLMFlash,90.6624,33.0
16H+32C,int4,128,500,SemSched,83.405923,157.33
16H+32C,int4,128,2000,FlexGen,23.179266,71.775
16H+32C,int4,128,2000,LIA,51.10726,71.469
16H+32C,int4,128,2000,LLMFlash,90.8334,33.0
16H+32C,int4,128,2000,SemSched,60.56253,593.71
16H+32C,int4,128,4000,FlexGen,21.494274,143.55
16H+32C,int4,128,4000,LIA,51.10726,142.939
16H+32C,int4,128,4000,LLMFlash,90.8625,33.0
16H+32C,int4,128,4000,SemSched,43.676452,1176.5
16H+64C,fp32,1,50,FlexGen,0.016548,0.824
16H+64C,fp32,1,50,LIA,0.019575,0.916
16H+64C,fp32,1,50,LLMFlash,0.0708,0.0
16H+64C,fp32,1,50,SemSched,0.049679,4.32
16H+64C,fp32,1,500,FlexGen,0.016546,8.24
16H+64C,fp32,1,500,LIA,0.019575,9.161
16H+64C,fp32,1,500,LLMFlash,0.0708,0.0
16H+64C,fp32,1,500,SemSched,0.049674,37.86
16H+64C,fp32,1,2000,FlexGen,0.016539,32.961
16H+64C,fp32,1,2000,LIA,0.019575,36.645
16H+64C,fp32,1,2000,LLMFlash,0.0708,0.0
16H+64C,fp32,1,2000,SemSched,0.049659,149.49
