Experiment,Model,Simulator,Quant,MemConfig,BatchSize,TPS,Prefill_TPS,Cold_Load_s,Read_Op_Pct,Write_Op_Pct,Write_Util_Pct,Write_Stall_Time_s,Write_Stall_Pct,Write_Stall_Count,Write_Stall_Freq_Pct,Per_Token_Stall_Min_Pct,Per_Token_Stall_Max_Pct,Per_Token_Stall_Mean_Pct,Token_Time_s,Stall_Pct_of_Token
Quantization,72,LLMFlash,int8,32H+32C,128,43.5465,0.1,0.0,99.9669,0.0331,0.0,0.000686,0.0234,0.0,0.0,0.0233,0.0234,0.023356250000000002,0.0,0.0
Quantization,72,CXLAimPod,int8,32H+32C,128,31.363886,4.526,0.0,99.9945,0.0055,0.0,0.000817,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0.0
Quantization,72,SemSched,int8,32H+32C,128,43.252769,4.6,0.0,99.9998,0.0002,0.0276,0.000817,0.0276,1280.0,0.0,0.027555,0.027669,0.0276116875,0.0,0.0
Quantization,72,FlexGen,int4,32H+32C,128,70.240754,4.528,0.0,99.9998,0.0002,0.0,0.000289,0.0159,80.0,0.0,0.0158,0.0159,0.01588125,0.0,0.0
Quantization,72,LIA,int4,32H+32C,128,60.611176,4.523,0.0,99.9998,0.0002,0.0,0.000289,0.0137,0.0,0.0,0.0137,0.0137,0.0137,0.0,0.0
Quantization,72,LLMFlash,int4,32H+32C,128,110.6552,0.3,0.0,99.9659,0.0341,0.0,0.000366,0.0316,0.0,0.0,0.0316,0.0317,0.03163125,0.0,0.0
Quantization,72,CXLAimPod,int4,32H+32C,128,100.555987,4.527,0.0,99.9945,0.0055,0.0,0.000429,0.0337,0.0,0.0,0.0336,0.0338,0.033681249999999996,0.0,0.0
Quantization,72,SemSched,int4,32H+32C,128,100.696307,4.67,0.0,99.9998,0.0002,0.0337,0.000429,0.0337,1280.0,0.0,0.033649,0.033812,0.03373025,0.0,0.0
Memory,72,FlexGen,fp32,16GB_Host+32GB_CXL,128,2.077998,4.518,0.0,99.9998,0.0002,0.0,0.002249,0.0037,80.0,0.0,0.0036,0.0037,0.00366875,0.0,0.0
Memory,72,LIA,fp32,16GB_Host+32GB_CXL,128,2.262234,4.481,0.0,99.9998,0.0002,0.0,0.002249,0.004,0.0,0.0,0.004,0.004,0.004,0.0,0.0
Memory,72,LLMFlash,fp32,16GB_Host+32GB_CXL,128,4.006,0.0,0.0,99.9697,0.0303,0.0,0.002878,0.009,0.0,0.0,0.009,0.009,0.009,0.0,0.0
Memory,72,CXLAimPod,fp32,16GB_Host+32GB_CXL,128,2.381873,4.516,0.0,99.9945,0.0055,0.0,0.003268,0.0061,0.0,0.0,0.0061,0.0061,0.0061,0.0,0.0
