Layer,Name,Kind,Placement,Served_From,Bytes,Compute_s_all_cores,Mem_s_dram,Mem_s_cxl,Mem_s_cxlssd,Mem_s_total,Layer_Time_s,CXL_Hit_Bytes_cum,DeviceDRAM_Bytes_cum,NAND_Bytes_cum,Prefetch_Source,Prefetch_Next_Layer,Prefetch_Bytes,Prefetch_Time_s,CXL_Cache_Used_GB,DeviceCache_Used_GB
21,decoder_19,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.018801048703703704,0.0802797264,0.09908077510370371,0.09908077510370371,8749278749,0,6081780195,CXL Device NAND→CXL Device DRAM,22,494491145,0.09908077510370371,0.461,1.795
22,decoder_20,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.01926742185185185,0.07781559140000001,0.09708301325185185,0.09708301325185185,9243769894,0,6459704282,CXL Device NAND→CXL Device DRAM,23,484517806,0.09708301325185185,0.451,1.777
23,decoder_21,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.018878848925925926,0.0798690452,0.09874789412592593,0.09874789412592593,9728287700,0,6847601708,CXL Device NAND→CXL Device DRAM,24,492826740,0.09874789412592593,0.459,1.792
24,decoder_22,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.01920224222222222,0.07815930139999999,0.09736154362222221,0.09736154362222221,10221114440,0,7227190200,CXL Device NAND→CXL Device DRAM,25,485910458,0.09736154362222221,0.453,1.78
25,decoder_23,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.01893295362962963,0.0795827798,0.09851573342962963,0.09851573342962963,10707024898,0,7613694974,CXL Device NAND→CXL Device DRAM,26,491665937,0.09851573342962963,0.458,1.79
26,decoder_24,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.01915722951851852,0.07839765,0.09755487951851852,0.09755487951851852,11198690835,0,7994444269,CXL Device NAND→CXL Device DRAM,27,486869402,0.09755487951851852,0.453,1.781
27,decoder_25,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.018970490074074076,0.079384803,0.09835529307407408,0.09835529307407408,11685560237,0,8379990099,CXL Device NAND→CXL Device DRAM,28,490863735,0.09835529307407408,0.457,1.788
28,decoder_26,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.019126003333333332,0.0785627314,0.09768873473333334,0.09768873473333334,12176423972,0,8761541596,CXL Device NAND→CXL Device DRAM,29,487538678,0.09768873473333334,0.454,1.782
29,decoder_27,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.018996288074074073,0.0792478538,0.09824414187407407,0.09824414187407407,12663962650,0,9146418150,CXL Device NAND→CXL Device DRAM,30,490315714,0.09824414187407407,0.457,1.787
30,decoder_28,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.01910469625925926,0.0786754296,0.09778012585925926,0.09778012585925926,13154278364,0,9528517668,CXL Device NAND→CXL Device DRAM,31,487995634,0.09778012585925926,0.454,1.783
31,decoder_29,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.01901422237037037,0.0791533686,0.09816759097037037,0.09816759097037037,13642273998,0,9912937266,CXL Device NAND→CXL Device DRAM,32,489932959,0.09816759097037037,0.456,1.787
32,decoder_30,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.019089510148148147,0.0787550746,0.09784458474814815,0.09784458474814815,14132206957,0,10295419539,CXL Device NAND→CXL Device DRAM,33,488317928,0.09784458474814815,0.455,1.784
33,decoder_31,DecoderBlock,CXL Device NAND,CXL Device DRAM (partial) + CXL Device NAND (NAND),872415232,0.012621748148148149,0.0,0.019026664185185185,0.0790873628,0.09811402698518519,0.09811402698518519,14620524885,0,10679516843,None,,0,0.0,0.0,1.786
34,final_norm,RMSNorm,Host DRAM,Host DRAM,16384,0.0,6.266666666666667e-07,0.0,0.0,6.266666666666667e-07,6.266666666666667e-07,14620524885,0,10679516843,None,,0,0.0,0.0,1.786
35,lm_head,LMHead,Host DRAM,Host DRAM,524288000,0.0,0.014053333333333333,0.0,0.0,0.014053333333333333,0.014053333333333333,14620524885,0,10679516843,None,,0,0.0,0.0,1.786
