Experiment,Model,Simulator,Quant,MemConfig,TPS,Stall_s,Hit_Rate,Prefill_Time_s,Prefill_TPS,Duplex_Read_Ratio,Sparsity_Savings_FLOPs,Injected_Ops,NAND_Miss_Bytes
Memory,72,Baseline,fp32,16GB_Host+64GB_CXL,0.016646,0.0,0.0,60.754694,8.427,0.0,0,0,0
Memory,72,Adaptive,fp32,16GB_Host+64GB_CXL,0.026547,0.0,0.0,60.189636,8.506,0.0,0,0,0
Memory,72,Async,fp32,16GB_Host+64GB_CXL,0.086035,0.0,29.5,52.814405,9.694,0.0,0,0,0
Memory,72,SemDuplex,fp32,16GB_Host+64GB_CXL,0.08632,0.0,0.0,56.736791,9.024126866815573,58.74,98808423911,162,190136188928
Memory,72,Baseline,fp32,32GB_Host+32GB_CXL,0.017618,0.0,0.0,58.692758,8.723,0.0,0,0,0
Memory,72,Adaptive,fp32,32GB_Host+32GB_CXL,0.027866,0.0,0.0,58.163754,8.803,0.0,0,0,0
Memory,72,Async,fp32,32GB_Host+32GB_CXL,0.087713,0.0,13.8,54.435111,9.406,0.0,0,0,0
Memory,72,SemDuplex,fp32,32GB_Host+32GB_CXL,0.087867,0.0,0.0,51.749114,9.893889197793802,58.74,98808423911,162,201175597056
Memory,72,Baseline,fp32,32GB_Host+64GB_CXL,0.017618,0.0,0.0,58.692758,8.723,0.0,0,0,0
Memory,72,Adaptive,fp32,32GB_Host+64GB_CXL,0.027866,0.0,0.0,58.163754,8.803,0.0,0,0,0
Memory,72,Async,fp32,32GB_Host+64GB_CXL,0.087713,0.0,32.1,50.788524,10.081,0.0,0,0,0
Memory,72,SemDuplex,fp32,32GB_Host+64GB_CXL,0.087867,0.0,0.0,51.749114,9.893889197793802,58.74,98808423911,162,161480704000
