Experiment,Model,Simulator,Quant,MemConfig,TPS,Stall_s,Hit_Rate
Scalability,7,Baseline,fp32,32H+64C,22.02,0.0,0.0
Scalability,7,Adaptive,fp32,32H+64C,23.67,0.0,0.0
Scalability,7,Async,fp32,32H+64C,23.67,0.0,0.0
Scalability,7,DuplexGen,fp32,32H+64C,0.0,0.0,0.0
Scalability,13,Baseline,fp32,32H+64C,5.575,0.0,0.0
Scalability,13,Adaptive,fp32,32H+64C,12.048,0.0,0.0
Scalability,13,Async,fp32,32H+64C,12.657,0.0,0.0
Scalability,13,DuplexGen,fp32,32H+64C,0.0,0.0,0.0
Scalability,20,Baseline,fp32,32H+64C,2.17,0.0,0.0
Scalability,20,Adaptive,fp32,32H+64C,6.233,0.0,0.0
Scalability,20,Async,fp32,32H+64C,6.763,0.0,0.0
Scalability,20,DuplexGen,fp32,32H+64C,0.0,0.0,0.0
Scalability,72,Baseline,fp32,32H+64C,0.513,0.0,0.0
Scalability,72,Adaptive,fp32,32H+64C,0.759,0.0,0.0
Scalability,72,Async,fp32,32H+64C,1.783,0.0,32.1
Scalability,72,DuplexGen,fp32,32H+64C,0.0,0.0,0.0
Quantization,72,Baseline,fp32,32H+64C,0.513,0.0,0.0
Quantization,72,Adaptive,fp32,32H+64C,0.759,0.0,0.0
Quantization,72,Async,fp32,32H+64C,1.783,0.0,32.1
Quantization,72,DuplexGen,fp32,32H+64C,0.0,0.0,0.0
Quantization,72,Baseline,fp16,32H+64C,1.128,0.0,0.0
Quantization,72,Adaptive,fp16,32H+64C,1.638,0.0,0.0
Quantization,72,Async,fp16,32H+64C,3.572,0.0,100.0
Quantization,72,DuplexGen,fp16,32H+64C,0.0,0.0,0.0
Quantization,72,Baseline,int8,32H+64C,2.685,0.0,0.0
Quantization,72,Adaptive,int8,32H+64C,6.259,0.0,0.0
Quantization,72,Async,int8,32H+64C,6.267,0.0,0.0
Quantization,72,DuplexGen,int8,32H+64C,0.0,0.0,0.0
Quantization,72,Baseline,int4,32H+64C,6.954,0.0,0.0
Quantization,72,Adaptive,int4,32H+64C,8.006,0.0,0.0
Quantization,72,Async,int4,32H+64C,8.006,0.0,0.0
Quantization,72,DuplexGen,int4,32H+64C,0.0,0.0,0.0
Memory,72,Baseline,fp16,16GB_Host+32GB_CXL,4.454,0.0,0.0
Memory,72,Adaptive,fp16,16GB_Host+32GB_CXL,7.978,0.0,0.0
Memory,72,Async,fp16,16GB_Host+32GB_CXL,8.006,0.0,0.0
Memory,72,DuplexGen,fp16,16GB_Host+32GB_CXL,0.0,0.0,0.0
Memory,72,Baseline,fp16,16GB_Host+64GB_CXL,4.454,0.0,0.0
Memory,72,Adaptive,fp16,16GB_Host+64GB_CXL,7.978,0.0,0.0
Memory,72,Async,fp16,16GB_Host+64GB_CXL,8.006,0.0,0.0
Memory,72,DuplexGen,fp16,16GB_Host+64GB_CXL,0.0,0.0,0.0
Memory,72,Baseline,fp16,32GB_Host+32GB_CXL,4.454,0.0,0.0
Memory,72,Adaptive,fp16,32GB_Host+32GB_CXL,7.978,0.0,0.0
Memory,72,Async,fp16,32GB_Host+32GB_CXL,8.006,0.0,0.0
Memory,72,DuplexGen,fp16,32GB_Host+32GB_CXL,0.0,0.0,0.0
Memory,72,Baseline,fp16,32GB_Host+64GB_CXL,6.954,0.0,0.0
Memory,72,Adaptive,fp16,32GB_Host+64GB_CXL,8.006,0.0,0.0
Memory,72,Async,fp16,32GB_Host+64GB_CXL,8.006,0.0,0.0
Memory,72,DuplexGen,fp16,32GB_Host+64GB_CXL,0.0,0.0,0.0
